,Family,AUC,Models_count,True_detect_count,False_detect_count,Max_correct_full_score,Max_uncorrect_full_score
0,Unrecognized,0.6571347748933287,2515,643,1872,59.0,61.6
1,Baculoviridae,,1010,0,1010,,57.2
2,Iridoviridae,,1591,0,1591,,123.2
3,Mimiviridae,0.7319208098949792,4909,2734,2175,429.9,143.9
4,Orthoherpesviridae,0.9031290916173137,8646,6749,1897,59.5,56.6
5,Peduoviridae,,165,0,165,,60.5
6,Spinareoviridae,0.9438912596807333,396,285,111,50.8,34.0
7,Nanoviridae,0.9735849056603774,68,53,15,57.9,15.1
8,Straboviridae,0.9137476652878419,1300,766,534,100.6,55.3
9,Geminiviridae,0.9128177787754643,276,173,103,56.3,28.0
10,Sedoreoviridae,0.9964210435055894,1040,813,227,56.1,18.7
11,Poxviridae,0.9184846090808177,6097,3681,2416,60.1,106.5
12,Papillomaviridae,0.952948539822132,2141,1558,583,52.8,35.3
13,Corticoviridae,,18,0,18,,29.3
14,Retroviridae,0.9178626923796076,3182,1814,1368,60.7,36.2
15,Orthomyxoviridae,,6957,0,6957,,58.3
16,Salasmaviridae,,247,0,247,,62.3
17,Coronaviridae,,2240,0,2240,,57.9
18,Togaviridae,0.9911806981519508,587,487,100,58.1,16.6
19,Secoviridae,0.9253343555669137,531,258,273,65.8,28.9
20,Polydnaviriformidae,,139,0,139,,48.5
21,Lipothrixviridae,0.9623164519029068,165,71,94,67.3,55.8
22,Adenoviridae,,1354,0,1354,,64.6
23,Phenuiviridae,,175,0,175,,52.4
24,Closteroviridae,0.9166666666666667,98,66,32,48.1,33.5
25,Asfarviridae,0.9436055672268907,1132,112,1020,83.1,46.3
26,Inoviridae,0.9654901960784313,76,51,25,55.4,42.2
27,Alphasatellitidae,,22,0,22,,48.7
28,Alphaflexiviridae,0.8356850826730344,665,333,332,56.5,51.2
29,Caulimoviridae,0.9882092851879144,243,184,59,66.2,25.7
30,Betaflexiviridae,0.8456959337794621,394,237,157,51.0,48.7
31,Arenaviridae,,792,0,792,,55.8
32,Rudiviridae,0.9927927927927928,82,45,37,59.5,40.6
33,Steigviridae,0.9914529914529914,48,39,9,53.1,28.9
34,Tectiviridae,,24,0,24,,41.7
35,Picornaviridae,0.9552149676786016,2600,1194,1406,49.7,33.0
36,Ackermannviridae,0.9914285714285714,39,14,25,58.3,41.0
37,Caliciviridae,0.9017568955399061,682,256,426,52.4,27.1
38,Arteriviridae,,128,0,128,,53.2
39,Tobaniviridae,,63,0,63,,52.1
40,Circoviridae,0.9438025210084033,143,7,136,32.7,32.7
41,Alphatetraviridae,1.0,15,6,9,48.4,17.3
42,Halspiviridae,,37,0,37,,30.4
43,Anelloviridae,0.948005698005698,175,162,13,48.7,20.3
44,Flaviviridae,0.7619078245263766,3615,3089,526,53.2,46.3
45,Demerecviridae,,207,0,207,,61.6
46,Herelleviridae,,159,0,159,,57.7
